,,,,,,,,,,,,,,,,,
Feature,<Feature Name1>,,,,,,,,,,,,,,,,Passed
Test requirement,<Brief description about requirements which are tested in this sheet>,,,,,,,,,,,,,,,,Failed
Number of TCs,6,,,,,,,,,,,,,,,,Pending
Testing Round,Passed,Failed,Pending,N/A,,,,,,,,,,,,,N/A
Round 1,6,0,0,0,,,,,,,,,,,,,
Round 2,6,0,0,0,,,,,,,,,,,,,
Round 3,6,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1,Test date,Tester,Round 2,Test date,Tester,Round 3,Test date,Tester,Note,,,
Đăng nhập,,,,,,,,,,,,,,,,,
TC_01,"Đăng nhập thành công (""username"":""102220095"",""password"":""0787546459"")","POST /login {""username"":""102220095"",""password"":""0787546459""}","200 OK; JSON trả về token; token hợp lệ User '102220095' tồn tại và password đúng	","User '102220095' đã được tạo thành công trước đó, và có status là Active (hoạt động).",Passed,,,,,,,,,,,,
TC_02,"Sai mật khẩu (username"":""102220095"",""password"":""123456789"")",POST /login với mật khẩu sai,"401 Unauthorized; message: ""Invalid credentials"" thông tin xác thực (username/password hoặc token) không hợp lệ","User '102220095' đã được tạo thành công trước đó, và có status là Active (hoạt động).",Passed,,,,,,,,,,,,
TC_03,"User không tồn tại username"":""122222222"",""password"":""0787546459"")",POST /login với username không tồn tại,"404 Not Found; message: ""User not found""",Chắc chắn không có user nào có username là '122222222' trong hệ thống,Passed,,,,,,,,,,,,
TC_04,"Thiếu field username username"":"" "",""password"":""0787546459",POST /login thiếu field username,400 Bad Request; validation error,_,Passed,,,,,,,,,,,,
TC_05,"Thiếu mật khẩu username"":""102220095"",""password"":"" "")",POST /login thiếu field password,400 Bad Request; validation error,"User '102220095' đã được tạo thành công trước đó, và có status là Active (hoạt động).",Passed,,,,,,,,,,,,
TC_06,"User inactive (username"":""102210096"",""password"":""123456789"")",POST /login với user inactive,"403 Forbidden; message: ""User is inactive""", User '102210096' đã được tạo thành công trước đó và được đặt trạng thái (status) là inactive.,Passed,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
